,SMILES,DILI?
0,CC(=O)OCC[N+](C)(C)C,0
1,C[N+](C)(C)CC(=O)[O-],0
2,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0
3,O=C(O)c1ccccc1O,0
4,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
5,OCC(O)C(O)C(O)C(O)CO,0
6,NCCCCCC(=O)O,0
7,CS(C)=O,0
8,NCCc1ccc(O)c(O)c1,0
9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0
10,OC1C(O)C(O)C(O)C(O)C1O,0
11,O=C(O)c1cccnc1,1
12,Nc1ccc(C(=O)O)cc1,0
13,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0
14,NC(=O)c1cnccn1,1
15,Cc1ncc(CO)c(CO)c1O,0
16,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0
17,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1
18,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1
19,Oc1cccc2cccnc12,1
20,Nc1c2c(nc3ccccc13)CCCC2,0
21,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1
22,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1
23,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,1
24,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1
25,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
26,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0
27,O=c1ncnc2[nH][nH]cc1-2,1
28,NC12CC3CC(CC(C3)C1)C2,0
29,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
30,NCCCNCCSP(=O)(O)O,0
31,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0
32,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0
33,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1
34,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1
